City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saudarkrokur,65.7461,-19.6394,3.58,85,100,6.44,IS,1726383442
84,ulladulla,-35.35,150.4667,12.97,54,3,8.59,AU,1726383853
85,nuku'alofa,-21.1333,-175.2,23.19,94,75,1.54,TO,1726383854
86,yongchuan,29.3514,105.8947,37.2,32,14,4.66,CN,1726383855
87,st. john's,47.5649,-52.7093,11.65,79,100,8.49,CA,1726383604
88,awjilah,29.1081,21.2869,28.48,50,6,8.84,LY,1726383857
89,talnakh,69.4865,88.3972,6.8,53,57,2.44,RU,1726383858
90,crane,31.3974,-102.3501,24.68,59,0,3.84,US,1726383859
91,vila franca do campo,37.7167,-25.4333,20.23,88,8,1.92,PT,1726383860
92,lorengau,-2.0226,147.2712,27.65,83,39,2.25,PG,1726383861
93,olonkinbyen,70.9221,-8.7187,1.25,80,100,9.84,SJ,1726383862
94,waitangi,-43.9535,-176.5597,10.46,96,19,3.58,NZ,1726383863
95,polyarnyy,69.1989,33.4478,10.65,78,100,1.96,RU,1726383866
96,ninotsminda,41.2646,43.5916,16.45,53,0,2.85,GE,1726383867
97,utrik,11.2278,169.8474,28.69,78,100,8.91,MH,1726383397
98,hawaiian paradise park,19.5933,-154.9731,22.73,89,100,1.54,US,1726383869
99,dudinka,69.4058,86.1778,6.98,49,39,3.4,RU,1726383870
100,prince rupert,54.3161,-130.3201,11.83,99,100,2.06,CA,1726383303
101,aromashevo,56.8602,68.6375,16.71,72,79,5.07,RU,1726383872
102,ghat,24.9647,10.1728,29.94,44,86,1.57,LY,1726383873
103,hafar al-batin,28.4328,45.9708,37.32,11,0,4.12,SA,1726383874
104,kapuskasing,49.4169,-82.4331,17.05,88,40,3.09,CA,1726383875
105,squamish,49.7014,-123.1512,13.25,94,74,0.51,CA,1726383877
106,smithers,54.7804,-127.1743,9.18,87,75,1.03,CA,1726383603
107,longyearbyen,78.2186,15.6401,6.91,87,75,1.03,SJ,1726383879
108,colonia,50.9333,6.95,9.42,89,10,1.45,DE,1726383436
109,afaahiti,-17.75,-149.2833,24.69,78,7,2.48,PF,1726383881
110,port alfred,-33.5906,26.891,18.43,87,100,2.74,ZA,1726383882
111,junin de los andes,-39.9504,-71.0694,0.71,87,9,3.48,AR,1726383883
112,hamilton,39.1834,-84.5333,22.22,68,0,0.89,US,1726383884
113,sweet home,44.3976,-122.7362,16.5,79,94,2.24,US,1726383885
114,blackmans bay,-43.0167,147.3167,9.29,63,100,0.45,AU,1726383886
115,panauti,27.5814,85.5124,26.18,61,75,3.6,NP,1726383887
116,kunyang,27.6658,120.5658,29.25,82,100,1.62,CN,1726383889
117,vilyuysk,63.7553,121.6247,7.03,45,94,2.71,RU,1726383890
118,anadyr,64.75,177.4833,7.28,87,75,7.0,RU,1726383891
119,vilyuchinsk,52.9306,158.4028,15.15,66,16,3.89,RU,1726383892
120,riti,7.9167,9.6167,23.4,97,100,1.5,NG,1726383893
121,galesong,-5.3166,119.3661,30.45,56,95,9.67,ID,1726383894
122,port lincoln,-34.7333,135.8667,13.21,53,3,8.46,AU,1726383895
123,woolgoolga,-30.1106,153.2007,15.93,56,5,13.05,AU,1726383896
124,luanco,43.6152,-5.7934,14.21,90,5,0.89,ES,1726383897
125,kargasok,59.0556,80.8572,10.04,40,6,5.99,RU,1726383898
126,tazovsky,67.4667,78.7,5.95,50,20,2.63,RU,1726383900
127,yuzhno-kurilsk,44.0306,145.8556,16.29,85,100,8.4,RU,1726383901
128,prieska,-29.6641,22.7474,15.8,33,0,2.27,ZA,1726383902
129,new norfolk,-42.7826,147.0587,9.95,73,100,4.46,AU,1726383903
130,minas de matahambre,22.5887,-83.9447,25.42,90,18,1.57,CU,1726383904
131,iskateley,67.6803,53.1512,20.56,65,100,5.12,RU,1726383905
132,grenade,37.25,-3.25,17.24,63,0,0.24,ES,1726383906
133,jamestown,42.097,-79.2353,18.8,97,0,2.06,US,1726383907
134,itoman,26.1247,127.6694,31.43,77,75,6.69,JP,1726383908
135,xichang,27.8964,102.2634,29.53,52,20,1.13,CN,1726383909
136,agat village,13.3886,144.6585,28.53,91,75,1.54,GU,1726383910
137,kidatu,-7.6992,36.9572,28.93,38,5,2.09,TZ,1726383912
138,aioun,16.6614,-9.6149,28.07,62,20,1.05,MR,1726383913
139,saint-philippe,-21.3585,55.7679,19.36,71,56,6.64,RE,1726383914
140,avarua,-21.2078,-159.775,23.03,78,75,2.06,CK,1726383915
141,pinhao,-25.6956,-51.6597,15.19,99,100,0.52,BR,1726383916
142,kalmunai,7.4167,81.8167,34.44,49,37,5.38,LK,1726383917
143,alofi,-19.0595,-169.9187,22.94,94,20,1.03,NU,1726383918
144,sandnessjoen,66.0217,12.6316,11.2,63,100,9.99,NO,1726383367
145,tadine,-21.55,167.8833,20.63,77,7,5.55,NC,1726383920
146,fisterra,42.9049,-9.2629,17.03,64,100,2.55,ES,1726383439
147,sisimiut,66.9395,-53.6735,2.57,87,38,3.51,GL,1726383922
148,lautoka,-17.6167,177.4667,26.92,69,40,2.57,FJ,1726383924
149,thunder bay,48.4001,-89.3168,17.99,100,100,2.06,CA,1726383925
150,la mira,18.035,-102.3266,25.62,91,100,1.55,MX,1726383926
151,acarau,-2.8856,-40.12,24.43,84,2,7.34,BR,1726383927
152,orhei,47.3831,28.8231,14.97,87,100,1.02,MD,1726383928
153,santo antonio,-6.3106,-35.4789,21.3,86,98,4.27,BR,1726383929
154,groningen,53.25,6.75,11.68,89,100,2.06,NL,1726383930
155,coron,11.9986,120.2043,25.9,95,100,5.79,PH,1726383931
156,paraguari,-25.6208,-57.1472,15.61,81,98,2.09,PY,1726383932
157,princeville,45.7668,-61.2985,9.62,97,0,1.03,CA,1726383933
158,paita,-5.0892,-81.1144,16.41,87,94,4.99,PE,1726383934
159,walvis bay,-22.9575,14.5053,13.44,73,0,4.51,NA,1726383936
160,las palmas,28.4204,-14.0131,20.44,73,75,4.63,ES,1726383937
161,vila velha,-20.3297,-40.2925,22.97,89,0,4.12,BR,1726383938
162,ancud,-41.8697,-73.8203,7.1,84,99,2.91,CL,1726383939
163,pont rouge,48.8833,-72.0825,11.89,75,7,2.4,CA,1726383940
164,yerofey pavlovich,53.9667,121.9667,17.47,31,20,2.37,RU,1726383941
165,zacharo,37.4833,21.65,22.83,56,6,3.06,GR,1726383942
166,margaret river,-33.95,115.0667,19.89,40,0,2.98,AU,1726383909
167,igarka,67.4667,86.5833,8.17,48,90,4.12,RU,1726383460
168,papatowai,-46.5619,169.4708,5.61,97,100,4.62,NZ,1726383945
169,la passe,45.5549,-0.8967,10.56,67,0,5.92,FR,1726383946
170,talcahuano,-36.7167,-73.1167,6.82,93,0,3.6,CL,1726383948
171,kirensk,57.7853,108.1119,10.04,76,100,5.78,RU,1726383949
172,al mindak,20.1588,41.2834,24.99,33,55,2.69,SA,1726383950
173,debila,33.5167,6.95,22.04,56,20,4.12,DZ,1726383951
174,fort mcmurray,56.7268,-111.381,12.73,76,100,1.54,CA,1726383952
175,shelburne,44.0787,-80.2041,16.24,90,0,2.8,CA,1726383953
176,vrangel',42.7297,133.0839,19.79,51,0,2.74,RU,1726383954
177,marka,1.7159,44.7717,27.25,65,10,7.77,SO,1726383443
178,punta arenas,-53.15,-70.9167,3.06,87,40,14.92,CL,1726383956
179,klyuchi,52.2667,79.1667,12.77,93,100,3.76,RU,1726383957
180,fort bragg,35.139,-79.006,22.17,86,100,4.63,US,1726383959
181,changping,40.2186,116.2197,24.48,43,97,1.28,CN,1726383960
182,novopskov,49.5464,39.0899,25.7,25,0,8.62,UA,1726383961
183,gudauta,43.1055,40.6207,25.67,56,0,0.79,GE,1726383962
184,fiambala,-27.6871,-67.6149,8.49,53,0,0.84,AR,1726383963
185,kodiak,57.79,-152.4072,11.73,94,100,2.57,US,1726383964
186,shubarshi,48.5872,57.1869,22.63,32,12,5.88,KZ,1726383965
187,laojunmiao,39.8333,97.7333,17.6,48,37,4.14,CN,1726383371
188,lerwick,60.1545,-1.1494,11.46,83,34,8.16,GB,1726383370
189,kondratovo,57.9804,56.1066,18.16,77,0,2.0,RU,1726383968
190,whitehorse,60.7161,-135.0538,7.23,67,100,2.24,CA,1726383969
191,el kala,36.8956,8.4433,21.04,59,84,6.01,DZ,1726383971
192,bardai,11.65,7.2333,23.28,80,97,3.1,NG,1726383972
193,west vancouver,49.3323,-123.1622,13.83,89,17,0.89,CA,1726383973
194,wailua homesteads,22.0669,-159.378,25.44,80,40,8.75,US,1726383974
195,tshikapa,-6.4167,20.8,30.28,34,17,1.42,CD,1726383975
196,happy valley-goose bay,53.3168,-60.3315,6.17,81,75,4.12,CA,1726383393
197,mineral del monte,20.1333,-98.6667,12.9,93,95,1.79,MX,1726383978
198,mangrol,21.1167,70.1167,28.56,67,100,4.24,IN,1726383979
199,kijang,35.2442,129.2139,30.85,94,82,5.41,KR,1726383981
200,hermanus,-34.4187,19.2345,14.33,81,9,4.71,ZA,1726383982
201,kone,-21.0595,164.8658,22.7,70,46,2.33,NC,1726383983
202,oltinko'l,40.8011,72.1634,30.96,13,3,2.93,UZ,1726383984
203,pisco,-13.7,-76.2167,15.01,94,8,1.54,PE,1726383985
204,touros,-5.1989,-35.4608,22.63,87,74,4.86,BR,1726383986
205,yala,6.3333,101.25,25.6,83,100,1.43,TH,1726383987
206,tubarjal,30.4999,38.216,26.43,40,0,5.84,SA,1726383988
207,faya-largeau,17.9257,19.1043,34.93,12,13,7.7,TD,1726383989
208,magistral'nyy,56.1725,107.4458,10.1,69,100,4.55,RU,1726383990
209,grand falls-windsor,48.9332,-55.6649,4.94,93,11,2.38,CA,1726383991
210,atafu village,-8.5421,-172.5159,28.56,77,18,6.18,TK,1726383993
211,acajutla,13.5928,-89.8275,27.01,83,94,2.15,SV,1726383994
212,ipiales,0.8302,-77.6496,7.62,96,46,2.05,CO,1726383995
213,chegdomyn,51.1167,133.0167,16.39,37,99,1.07,RU,1726383996
214,mount gambier,-37.8333,140.7667,10.67,61,7,3.75,AU,1726383997
215,kuressaare,58.2481,22.5039,14.41,88,100,5.66,EE,1726383998
216,kyelang,32.5833,77.0333,10.73,56,96,3.4,IN,1726383999
217,mishan,45.55,131.8833,18.43,55,0,1.66,CN,1726384001
218,howard springs,-12.497,131.047,31.95,59,36,4.81,AU,1726384003
219,lebu,-37.6167,-73.65,7.53,87,4,5.83,CL,1726383497
220,hithadhoo,-0.6,73.0833,28.68,75,20,4.05,MV,1726384005
221,ciudad bolivar,8.1222,-63.5497,25.0,90,100,2.37,VE,1726384006
222,ribeira grande,38.5167,-28.7,20.22,83,20,2.57,PT,1726384007
223,kristiansund,63.1115,7.732,16.36,55,75,2.57,NO,1726384008
224,sandpoint,48.2766,-116.5533,10.8,67,13,1.5,US,1726384009
225,aasiaat,68.7098,-52.8699,-1.82,86,79,3.06,GL,1726384010
226,xacmaz,41.4635,48.806,26.58,20,0,4.12,AZ,1726384011
227,tazacorte,28.629,-17.9293,21.54,68,75,5.14,ES,1726384015
228,koryazhma,61.3143,47.1691,21.55,67,100,1.06,RU,1726384016
229,kirakira,-10.4544,161.9205,26.34,88,24,2.23,SB,1726384017
230,belmonte,-15.8631,-38.8828,21.87,89,75,1.07,BR,1726384018
231,fort st. john,56.2499,-120.8529,8.94,93,75,2.57,CA,1726384019
232,khalkhal,37.6189,48.5258,13.71,68,38,2.89,IR,1726384020
233,juan griego,11.0817,-63.9655,29.07,84,52,3.6,VE,1726384021
234,ndele,8.4109,20.6473,23.74,89,100,1.42,CF,1726384022
235,tambopata,-12.7333,-69.1833,27.68,46,99,0.52,PE,1726384023
236,kingston,17.997,-76.7936,25.65,94,6,0.88,JM,1726384024
237,eenhana,-17.4667,16.3333,25.36,14,100,1.46,NA,1726384025
238,haiku-pauwela,20.9219,-156.3051,24.03,77,0,6.69,US,1726384027
239,majene,-3.5403,118.9707,29.54,52,13,4.6,ID,1726384028
240,santa rita,-7.1139,-34.9781,22.37,100,75,2.06,BR,1726384029
241,midvagur,62.0511,-7.1939,9.46,93,75,5.66,FO,1726384030
242,ciudad guayana,8.3533,-62.6528,24.3,93,85,0.79,VE,1726384031
243,gadzhiyevo,69.2551,33.3362,10.92,77,100,1.51,RU,1726384032
244,boonville,38.9736,-92.7432,21.1,94,0,0.0,US,1726384034
245,morehead city,34.7229,-76.726,23.35,92,100,4.47,US,1726384035
246,atbara,17.7022,33.9864,35.57,32,10,5.07,SD,1726384036
247,vorgashor,67.5833,63.95,18.17,69,22,7.01,RU,1726384038
248,selfoss,63.9331,-20.9971,2.02,88,22,3.85,IS,1726384039
249,dauphin,51.1494,-100.0502,15.89,73,100,3.08,CA,1726384040
250,rio san juan,19.6439,-70.0763,26.04,90,93,2.44,DO,1726384041
251,callao,-12.0667,-77.15,16.51,88,100,2.57,PE,1726384042
252,steyerberg,52.5667,9.0333,10.13,77,100,3.35,DE,1726384043
253,tual,-5.6667,132.75,26.74,83,29,6.52,ID,1726384044
254,tuapse,44.1125,39.0742,26.52,48,0,0.7,RU,1726384045
255,cidreira,-30.1811,-50.2056,12.81,89,26,1.78,BR,1726384046
256,axim,4.8699,-2.2405,23.89,90,100,3.57,GH,1726384049
257,kertih,4.5141,103.4483,26.38,87,100,1.51,MY,1726384050
258,kidal,18.4411,1.4078,28.8,51,6,1.42,ML,1726384051
259,alice springs,-23.7,133.8833,24.75,19,0,6.69,AU,1726384052
260,gejiu,23.306,103.1635,23.16,66,75,1.11,CN,1726384053
261,peterhead,57.5058,-1.7981,12.84,81,100,4.74,GB,1726384054
262,high rock,26.6208,-78.2833,28.71,75,4,3.2,BS,1726384055
263,wagrowiec,52.8084,17.1996,15.11,84,100,9.09,PL,1726384057
264,aliveri,38.4167,24.0333,23.01,44,0,3.04,GR,1726384059
265,gaiman,-43.2897,-65.4929,9.7,37,1,12.51,AR,1726384060
266,bulolo,-7.2,146.65,25.42,90,58,1.88,PG,1726384061
267,csongrad,46.7133,20.1424,11.19,92,100,5.17,HU,1726384062
268,karliova,39.2983,41.0142,19.36,39,100,1.53,TR,1726384063
269,okene,7.5981,6.2318,23.43,97,100,0.97,NG,1726384064
270,kuta,-8.7233,115.1723,29.97,70,20,6.17,ID,1726384065
271,palmer,42.1584,-72.3287,16.96,78,0,1.54,US,1726384066
272,nsanje,-16.92,35.262,33.42,30,0,1.45,MW,1726384067
273,misratah,32.3754,15.0925,25.01,56,0,2.68,LY,1726384068
274,port hedland,-20.3167,118.5667,35.03,15,38,7.2,AU,1726384070
275,okhotsk,59.3833,143.3,12.14,66,91,3.0,RU,1726384071
276,geraldton,-28.7667,114.6,27.23,22,0,6.69,AU,1726384072
277,yichun,47.7,128.9,19.65,43,8,4.47,CN,1726384073
278,bhamo,24.2667,97.2333,30.31,65,100,0.71,MM,1726384074
279,alipur,29.3846,70.9116,37.22,31,0,3.29,PK,1726384075
280,ocean city,39.2776,-74.5746,21.11,87,97,1.79,US,1726384076
281,ouesso,1.6136,16.0517,22.12,96,100,0.26,CG,1726384077
282,lagunas,-5.2269,-75.6753,25.11,52,0,1.29,PE,1726384078
283,rosarito,32.3333,-117.0333,19.51,83,18,1.03,MX,1726383977
284,westport,41.1415,-73.3579,18.87,94,0,1.54,US,1726384080
285,newman,37.3138,-121.0208,19.46,64,0,0.45,US,1726384082
286,udachny,66.4167,112.4,2.3,86,94,5.88,RU,1726384083
287,wattegama,6.7989,81.4808,38.59,30,4,0.43,LK,1726384084
288,metlili chaamba,32.2667,3.6333,23.88,58,0,5.86,DZ,1726384085
289,amos,48.5669,-78.1162,15.61,94,68,2.29,CA,1726384086
290,san rafael,-34.6177,-68.3301,13.58,30,100,1.76,AR,1726384087
291,arraial do cabo,-22.9661,-42.0278,21.7,93,29,8.96,BR,1726384088
292,sorong,-0.8833,131.25,29.28,74,18,5.05,ID,1726384089
293,whangarei,-35.7317,174.3239,10.58,78,0,2.65,NZ,1726384090
294,raja,8.4596,25.678,24.21,88,98,1.53,SS,1726384091
295,mytishchi,55.9089,37.7339,20.2,100,59,3.21,RU,1726384092
296,cabo san lucas,22.8909,-109.9124,24.86,92,68,3.13,MX,1726384094
297,vanimo,-2.6741,141.3028,27.2,84,100,2.34,PG,1726384095
298,monrovia,6.3005,-10.7969,24.81,87,100,4.39,LR,1726384096
299,bandon,51.7469,-8.7425,14.77,98,100,5.31,IE,1726384097
300,pozanti,37.4278,34.8717,24.85,66,25,3.14,TR,1726384098
301,lexington,37.9887,-84.4777,20.07,72,0,0.89,US,1726384097
302,poronaysk,49.2167,143.1167,14.79,66,100,3.13,RU,1726384100
303,chabahar,25.2919,60.643,28.15,73,0,5.12,IR,1726384101
304,ndelele,4.0333,14.9333,22.24,95,100,1.37,CM,1726384102
305,barmer,25.75,71.3833,31.79,40,0,6.4,IN,1726384103
306,la rioja,42.25,-2.5,4.88,37,0,2.48,ES,1726384105
307,kuraymah,18.55,31.85,36.88,8,7,5.44,SD,1726384106
308,crucecita,-28.95,-58.9833,10.27,87,64,3.24,AR,1726384107
309,bandarbeyla,9.4942,50.8122,31.09,47,99,11.36,SO,1726384108
310,santana,-0.0583,-51.1817,26.1,89,20,2.06,BR,1726384109
311,taulaga,-11.0553,-171.0883,27.93,80,100,6.98,AS,1726384110
312,consolacion del sur,22.5047,-83.5136,25.1,91,6,1.38,CU,1726384111
313,yarmouth,41.7057,-70.2286,15.55,94,0,1.79,US,1726384112
314,hotan,37.0997,79.9269,27.49,14,3,2.6,CN,1726384113
315,mili,6.0815,171.735,27.91,75,100,2.24,MH,1726384114
316,sondrio,46.169,9.8692,12.05,62,99,5.59,IT,1726384115
317,nieves,15.3274,120.9485,29.78,76,74,0.98,PH,1726384117
318,pemangkat,1.1667,108.9667,29.36,64,100,8.83,ID,1726384118
319,bubaque,11.2833,-15.8333,26.92,81,100,6.37,GW,1726384119
320,illizi,26.4833,8.4667,31.11,37,79,3.4,DZ,1726384120
321,san luis acatlan,16.8167,-98.7333,24.22,94,100,1.24,MX,1726384121
322,wotje,9.4543,170.2367,28.36,77,100,5.29,MH,1726384122
323,newport,51.5877,-2.9984,13.4,93,47,5.11,GB,1726384123
324,cruzilia,-21.8386,-44.8083,15.04,61,0,2.19,BR,1726384124
325,al fashn,28.8243,30.8995,29.38,47,0,6.52,EG,1726384125
326,hammerfest,70.6634,23.6821,11.25,76,0,0.0,NO,1726384126
327,inhambane,-23.865,35.3833,27.49,60,0,2.87,MZ,1726384128
328,kailua-kona,19.6406,-155.9956,25.98,73,75,6.17,US,1726384129
329,nadi,-17.8,177.4167,27.0,69,40,2.57,FJ,1726384130
330,yorosso,12.3536,-4.7761,23.2,88,76,0.53,ML,1726384131
331,at taj,24.2049,23.2857,32.9,25,0,3.46,LY,1726384132
332,al mayadin,35.0209,40.4535,29.76,44,86,4.9,SY,1726384133
333,alotau,-10.3069,150.4462,25.3,90,100,2.89,PG,1726384134
334,mata-utu,-13.2816,-176.1745,26.91,84,93,6.33,WF,1726384136
335,hami,42.8,93.45,24.68,25,6,4.67,CN,1726384137
336,richards bay,-28.783,32.0377,22.06,64,100,1.45,ZA,1726384138
337,nacozari viejo,30.4,-109.65,21.58,73,100,0.87,MX,1726384140
338,sibolga,1.7427,98.7792,29.31,67,20,3.18,ID,1726384141
339,mount isa,-20.7333,139.5,30.87,23,40,5.14,AU,1726384142
340,aral,40.5156,81.2636,29.74,15,98,5.5,CN,1726384143
341,kupang,-10.1667,123.5833,34.32,33,20,6.17,ID,1726384144
342,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.51,GF,1726384145
343,shenjiamen,29.9576,122.298,28.31,87,93,9.67,CN,1726384146
344,sinop,41.7711,34.8709,26.93,36,0,1.91,TR,1726384147
345,ust'-kulom,61.6864,53.6902,22.11,59,85,1.23,RU,1726384148
346,curuzu cuatia,-29.7917,-58.0546,8.98,87,3,3.67,AR,1726384149
347,ulsteinvik,62.3432,5.8487,17.5,78,100,4.69,NO,1726384151
348,camilla,31.2313,-84.2105,21.8,94,43,4.41,US,1726384152
349,mil'kovo,55.6078,37.7956,18.08,30,61,3.68,RU,1726384154
350,djambala,-2.5447,14.7533,23.7,71,95,2.45,CG,1726384155
351,machico,32.7,-16.7667,21.35,73,20,4.12,PT,1726384156
352,dwarka,22.2394,68.9678,28.91,65,48,6.87,IN,1726384157
353,coquimbo,-29.9533,-71.3436,9.43,92,100,0.51,CL,1726383910
354,kyakhta,50.3508,106.4494,13.14,47,71,6.37,RU,1726384159
355,taoudenni,22.6783,-3.9836,33.57,40,88,3.32,ML,1726384160
356,baiquan,47.5833,126.0833,23.32,30,98,6.53,CN,1726384116
357,yendi,9.4427,-0.0099,22.74,98,100,1.2,GH,1726384163
358,lobujya,27.95,86.8167,4.26,89,98,2.53,NP,1726384164
359,kolonia town,6.964,158.206,29.0,79,100,1.54,FM,1726384165
360,phan rang-thap cham,11.5667,108.9833,34.11,49,100,1.81,VN,1726384166
361,san antonio de pale,-1.4014,5.6325,24.32,86,100,5.05,GQ,1726384167
362,kapoeta,4.7717,33.5903,30.43,32,8,7.2,SS,1726384168
363,kerikeri,-35.2268,173.9474,11.06,76,4,2.72,NZ,1726384169
364,hadibu,12.65,54.0333,26.86,75,91,9.19,YE,1726384170
365,kourou,5.1552,-52.6478,21.99,95,7,2.57,GF,1726384171
366,crestview,30.7621,-86.5705,23.47,96,20,1.54,US,1726384172
367,namsos,64.4662,11.4957,8.95,66,20,5.66,NO,1726384173
